original_id	obfuscated_id	status
AllLights_d6c5ac79.ltl	case_5e51dc068c04752cd2a625d9.ltl	equal
AllShades_66f450a4.ltl	case_43d5447a03900bcc451e0930.ltl	equal
Assumptions_a50cadd7.ltl	case_0bde783103f82fd923fa57d8.ltl	equal
Automata.ltl	case_d17568495c9062c50549ff72.ltl	equal
Automata16S.ltl	case_977783b35940bf6435ee2d14.ltl	equal
Automata32S.ltl	case_946e19f4a5494034db49bd8e.ltl	equal
Button.ltl	case_bc118e99e407c68364406bb8.ltl	equal
CheckAlarmBroken1_1a2942e3.ltl	case_e77d3ba3e200e6c95388f966.ltl	equal
CheckAlarm_6bea956e.ltl	case_166ef893b21e9895aa04f02e.ltl	equal
CheckCoffeMachineBroken1_a5f99bc6.ltl	case_4dced69778d1039356dca3b0.ltl	equal
CheckCoffeMachine_3461125b.ltl	case_044176872b50ac383b31c0c6.ltl	equal
CheckCoffeMachine_f3987563.ltl	case_32e3bf038ad9090f911c6756.ltl	equal
CheckDoor_c2b9e44d.ltl	case_d80d76f438886ff01d632108.ltl	equal
CheckHeating_2418b67e.ltl	case_eeecaf4787b44d9ceba4a5cf.ltl	equal
CheckHeating_3461125b.ltl	case_14b348c6e8c3d1f75875bcbf.ltl	equal
CheckLight_007df645.ltl	case_4a17e56c33f5c837f420924e.ltl	equal
CheckLight_aeb1d897.ltl	case_a44e2c7ba9d9acca586d2eef.ltl	equal
CheckRoom_06e9cad4.ltl	case_4f19884320c209ed2a51667e.ltl	equal
CheckRoom_2c5b09da.ltl	case_684c8e7d5565207e1f18d93f.ltl	equal
CheckRoom_3916ec59.ltl	case_0528883dbd8ba5b4a67561c4.ltl	equal
CheckRoom_70523fbe.ltl	case_26990529f30d904e9ce4e8d5.ltl	equal
CheckShades_1a2942e3.ltl	case_41c7677dd7e712955114e894.ltl	equal
CheckShades_3461125b.ltl	case_4ff7d80b814d93a5b725bba6.ltl	equal
CheckShades_4d4ca5c4.ltl	case_84e52ad44c4f8b7eb0a9dbe3.ltl	equal
CheckShades_aeb1d897.ltl	case_3160cd71c3cba7dbb51a8d91.ltl	equal
CheckTime_3916ec59.ltl	case_2e5c5b3f5a4275c5b74f499e.ltl	equal
CheckTime_4b5e6eaa.ltl	case_9295ff369bf0931d77779ca3.ltl	equal
CheckTime_54e1f7d2.ltl	case_ecc86cd9230a1a10b8719acf.ltl	equal
CheckTimer_54e1f7d2.ltl	case_d7e7c5f4342c9ebd2d28745c.ltl	equal
CheckTimer_fa8592c8.ltl	case_753f3811644fd083c7a78446.ltl	equal
CheckWarnlightBroken1_70523fbe.ltl	case_021b9f3515b62cb891423436.ltl	equal
CheckWarnlight_1cf58fc1.ltl	case_029f6e03e2bbc834edfcc3e2.ltl	equal
CheckWarnlight_4b5a2bad.ltl	case_f105d1c384919217d78a13a8.ltl	equal
CheckWarnlight_54e1f7d2.ltl	case_f25514639a7e6c8ac1f96c41.ltl	equal
CheckWarnlight_6bea956e.ltl	case_247f3253108d946b896b4b0e.ltl	equal
CheckWindows_54e1f7d2.ltl	case_f1555860871a1c1190e9aa87.ltl	equal
Cockpitboard.ltl	case_e8c9fee99519c8e924e20e55.ltl	equal
Cockpitboard_efe2feaf.ltl	case_9d5c617ff04caa75cc175109.ltl	equal
CoffeMachine_974f4a68.ltl	case_6e40d936b420815d668ddca8.ltl	equal
CoffeMachine_a50cadd7.ltl	case_fbee7ddcfad6237a2fd82476.ltl	equal
CoffeeMin_88f351a6.ltl	case_0f682eef30aad5ef57301e48.ltl	equal
Coffee_06e9cad4.ltl	case_978c11a458b071c807ecb1a9.ltl	equal
Coffee_235467da.ltl	case_16b054b0972baf6382798d5a.ltl	equal
Coffee_2c5b09da.ltl	case_79fc63ca92279eb3c852be95.ltl	equal
Coffee_6479ef9a.ltl	case_0b23c618db8cb83a989b3996.ltl	equal
Coffee_d6376bf9.ltl	case_8f2f1d0fcb0f40da3cc56aef.ltl	equal
Coffee_efe2feaf.ltl	case_649e769193ed9d1b0d3721b4.ltl	equal
Coffee_f1477cc5.ltl	case_b19d7f410391bed07a3e6075.ltl	equal
Core_4b5a2bad.ltl	case_07c7e8865e4e16535f709b52.ltl	equal
Core_66f450a4.ltl	case_51e1f6888329c74cd5c11192.ltl	equal
Core_fa4d4ce3.ltl	case_7f0106a7f03648f7b6083d42.ltl	equal
Core_solved_974f4a68.ltl	case_efe2c08685202179a3c0f287.ltl	equal
Demo1_06e9cad4.ltl	case_808c43b3cfc4674f2dabb376.ltl	equal
Demo1_2c5b09da.ltl	case_289d7744e21bab35b5ba34d6.ltl	equal
Demo1_63831f8c.ltl	case_b787410afd825cfd72678ef4.ltl	equal
Demo1_c2b9e44d.ltl	case_905769565af7db395112c2ef.ltl	equal
Demo1_d65ed84e.ltl	case_d37341c42badc4f4f4f54b5c.ltl	equal
DeviceBehaviorChec_fa8592c8.ltl	case_fab2b4908ddf7e3cedbdfe16.ltl	equal
Door_2d1010f8.ltl	case_0a876c8e7c6ff904e3b79e26.ltl	equal
EnemeyModule.ltl	case_d424412d4159b3734252c247.ltl	equal
EscalatorBidirectional.ltl	case_2b93fba226a3a2462331e76c.ltl	equal
EscalatorBidirectionalInit.ltl	case_f0d37eac7c382aa43b502924.ltl	equal
EscalatorCounting.ltl	case_8ac67843973fd770b32aeb34.ltl	equal
EscalatorCountingInit.ltl	case_1728f1b2a2aaa9ebe6ab5d3e.ltl	equal
EscalatorNonCounting.ltl	case_788313c1f37e446477260f19.ltl	equal
EscalatorNonReactive.ltl	case_ace045e2ce56be27bc88c50b.ltl	equal
EscalatorSmart.ltl	case_9dec93e044d64abe05bf9e45.ltl	equal
Example1_d6376bf9.ltl	case_e1a9be24d05a4a2ffded3133.ltl	equal
F-G-contradiction-10.ltl	case_93f8425537af06da6887db9f.ltl	equal
F-G-contradiction-11.ltl	case_1e774c2ef099ed50c2579cfe.ltl	equal
F-G-contradiction-110.ltl	case_2874b52a5631f23460638ae2.ltl	equal
F-G-contradiction-111.ltl	case_25da688c18c0321ba46741a4.ltl	equal
F-G-contradiction-112.ltl	case_e680b659b78fbcd82c92363d.ltl	equal
F-G-contradiction-113.ltl	case_d5bf085ce59a1adc3f2246a2.ltl	equal
F-G-contradiction-114.ltl	case_12734719811ccb16241e4522.ltl	equal
F-G-contradiction-12.ltl	case_67f6e9479cbd47003e899495.ltl	equal
F-G-contradiction-13.ltl	case_d6b4a6bddd0de7d55d6c3562.ltl	equal
F-G-contradiction-14.ltl	case_7212e8cd6cfea8cb05e587c1.ltl	equal
F-G-contradiction-15.ltl	case_cf594d70ba8ffd1478fac5b7.ltl	equal
F-G-contradiction-16.ltl	case_a2fe3702859ba6dac068db45.ltl	equal
F-G-contradiction-17.ltl	case_bd6ead2a6d6635aa44bc01e0.ltl	equal
F-G-contradiction-18.ltl	case_d031b35cadaaebcdc17b0d4a.ltl	equal
F-G-contradiction-19.ltl	case_55702b9b2ab2265ad43dfdbd.ltl	equal
F-G-contradiction-2-unreal.ltl	case_1f5261610e8ef06c59a2b8e5.ltl	equal
FelixSpecFixed2.2.core_fa8592c8.ltl	case_57fe441f565dbaeb73a9cc24.ltl	equal
FelixSpecFixed2_fa4d4ce3.ltl	case_f7b027c0a24cc6e073062f36.ltl	equal
FelixSpecFixed3.core_b209ff21.ltl	case_bcfc5dc5887d2ac5d3cb5fa7.ltl	equal
FelixSpecFixed3_b0840146.ltl	case_9c8420d5b91ced1d21a9c85d.ltl	equal
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl	case_e8992485622927a11c8507a6.ltl	equal
FelixSpecFixed4_3916ec59.ltl	case_5b1c991859305b5724db3227.ltl	equal
FelixSpecFixed5_f82794da.ltl	case_28a6aba82b099b1a951d3ab3.ltl	equal
FelixSpecFixed_2418b67e.ltl	case_e0bb1ab0b34b366d59ab91df.ltl	equal
Full_f1477cc5.ltl	case_5334a9dd85a389fefb83f86f.ltl	equal
GF-G-contradiction0.ltl	case_db6f7e8146ae04e2589146d3.ltl	equal
GF-G-contradiction1.ltl	case_e01e12d718d3b34c592f6c38.ltl	equal
GF-G-contradiction2.ltl	case_8997b4245d110bd6cfbeeaee.ltl	equal
GF-G-contradiction3.ltl	case_33e158e857e96a14241b02fb.ltl	equal
GF-G-contradiction4.ltl	case_e13f59b3403cb3704c149a9d.ltl	equal
GF-G-contradiction5.ltl	case_be9f8986aa615218b554f605.ltl	equal
GF-G-contradiction6.ltl	case_dcee06bfd69c1d515c32fee4.ltl	equal
GF-G-contradiction7.ltl	case_c96e8f5d208a008c681f51f7.ltl	equal
Gamelogic.ltl	case_1436884d6fb558bb33e37ccf.ltl	equal
GamemodeChooser.ltl	case_6fec18a0ea015a2661f4c460.ltl	equal
Gamemodule.ltl	case_e86afdad48e63eba40b5d015.ltl	equal
HeatingMin_d6c5ac79.ltl	case_4a7a81fe2eca2a460db63afb.ltl	equal
Heating_235467da.ltl	case_2f2ec78e2ce08c28d890cc2b.ltl	equal
Heating_974f4a68.ltl	case_35426c3d6d0ff7179b7a9fef.ltl	equal
Heating_b02056d6.ltl	case_7448a6c2e3aa7a813e05e0c9.ltl	equal
Heating_b209ff21.ltl	case_bf1f4cb62c16cfae83dab690.ltl	equal
Increment.ltl	case_f32cd0b0feaac9ff27177b3e.ltl	equal
IntendDemo_42dc4fff.ltl	case_0c25502b5f3174c5807d1b09.ltl	equal
KitchenTimerV0.ltl	case_b0084ae6f75d5ad748b15c7f.ltl	equal
KitchenTimerV1.ltl	case_4ebef1dfd94843670d511990.ltl	equal
KitchenTimerV10.ltl	case_313da9beb64117e1a62d939c.ltl	equal
KitchenTimerV2.ltl	case_9ca50f1f874776f60719a6ec.ltl	equal
KitchenTimerV3.ltl	case_ebd8bdae11b9a3caffa271d1.ltl	equal
KitchenTimerV4.ltl	case_5f0ac7dca3cf87d718f5afa7.ltl	equal
KitchenTimerV5.ltl	case_8d6596ad2d44cb570adc37aa.ltl	equal
KitchenTimerV6.ltl	case_be1a4448fe7e596dafd68c04.ltl	equal
KitchenTimerV7.ltl	case_4c42c44aaea1ae2f47956411.ltl	equal
KitchenTimerV8.ltl	case_d301155275b2f364c13e8614.ltl	equal
KitchenTimerV9.ltl	case_36307224e93179e42a5b8f75.ltl	equal
LampController_974f4a68.ltl	case_4c52dbb5dea8792656cb7cf3.ltl	equal
LedMatrix.ltl	case_29174dfa3ca16dc4fc17ec70.ltl	equal
Light_a50cadd7.ltl	case_06a24ed52fc19bc9a7094be5.ltl	equal
Light_aeb1d897.ltl	case_85fb7b11927d579adc555ed3.ltl	equal
Light_d65ed84e.ltl	case_607f41439270ab70ebe2b265.ltl	equal
Lights2Min_9cbf2546.ltl	case_4790d41720bbdaabfd0d037f.ltl	equal
Lights2_06e9cad4.ltl	case_5e5a4581a188f5aa9462aa69.ltl	equal
Lights2_0f5381e9.ltl	case_649803611f99ec24da829f00.ltl	equal
Lights2_2c5b09da.ltl	case_9474c0183782c91e59e772f8.ltl	equal
Lights2_9cac58d3.ltl	case_7af29bac09c3fe3fbd96190d.ltl	equal
Lights2_b02056d6.ltl	case_6efc0f06eeac9f60fd5dd67f.ltl	equal
Lights2_f1477cc5.ltl	case_0a6b3123c36b7e870f9c3837.ltl	equal
Lights2_f3987563.ltl	case_01438e854793da023a23ce80.ltl	equal
Lights3Min_6479ef9a.ltl	case_87350339e98a2f87b9a2c618.ltl	equal
Lights3_06e9cad4.ltl	case_3768176e656a4bda77979c0d.ltl	equal
Lights3_235467da.ltl	case_d5e49abd26955e10b496c59a.ltl	equal
Lights3_2c5b09da.ltl	case_18d8934598ce6414b11fe224.ltl	equal
Lights3_3916ec59.ltl	case_117b53cb6ba7e8a52416012a.ltl	equal
Lights3_6bea956e.ltl	case_eaf34d74875acec406b9b494.ltl	equal
Lights3_f1477cc5.ltl	case_110653d53f2d8d47741a22de.ltl	equal
LightsMin_6bea956e.ltl	case_905c8cd7235fc4cc6c322138.ltl	equal
LightsTotal_06e9cad4.ltl	case_4a4db10ed75b80dead01c30c.ltl	equal
LightsTotal_2c5b09da.ltl	case_63e52a129537c49326a4e747.ltl	equal
LightsTotal_9cbf2546.ltl	case_350b71631e4d6dab08ceea96.ltl	equal
LightsTotal_d65ed84e.ltl	case_2ef49f792558df0c46c38e71.ltl	equal
Lights_06e9cad4.ltl	case_067986898d91fa5c7b1e4a82.ltl	equal
Lights_2c5b09da.ltl	case_a608ffe1c430fdb1fc334864.ltl	equal
Lights_3461125b.ltl	case_76db904e71bec352d2ea6642.ltl	equal
Lights_9cac58d3.ltl	case_1849d9f07c28888b27217984.ltl	equal
Lights_b0840146.ltl	case_b63e0fa90102a74f88b88dd4.ltl	equal
Lights_f3987563.ltl	case_af2680af32f8e40b2a095972.ltl	equal
ModdifiedLedMatrix4X.ltl	case_123e2ac0babd93d6ce856905.ltl	equal
ModdifiedLedMatrix5X.ltl	case_fc5ade4140c7afbacf36549b.ltl	equal
Morning2Min_6cbc6174.ltl	case_50b7ab11d76fde56fdda2848.ltl	equal
Morning2_06e9cad4.ltl	case_0c610b35a2e3403f0134148d.ltl	equal
Morning2_1cf58fc1.ltl	case_a43ee9a1a69878817282f25e.ltl	equal
Morning2_2c5b09da.ltl	case_9f9838c42a7de9b656fd960b.ltl	equal
Morning2_407db2cc.ltl	case_792ad9b8ddff5a4d0d7053b1.ltl	equal
Morning2_4d4ca5c4.ltl	case_0ad470bc75efaee05f3f9d5b.ltl	equal
Morning2_63831f8c.ltl	case_a5a489d81ad1293f110621ba.ltl	equal
Morning2_68c86764.ltl	case_18361922f5b59e955a50fc22.ltl	equal
Morning2_9cac58d3.ltl	case_6e2f5f7067ba0da4c26f9c3b.ltl	equal
Morning2_d65ed84e.ltl	case_e24e300de8dd4930926e483f.ltl	equal
Morning2s_06cf2373.ltl	case_079ad9c16637177075cf7384.ltl	equal
Morning2s_06e9cad4.ltl	case_d8c497d8bda95d36687295ba.ltl	equal
Morning2s_2c5b09da.ltl	case_b518b8c7b497c9c22e3dd866.ltl	equal
Morning2s_42dc4fff.ltl	case_4ecbf039a94b71499a717c09.ltl	equal
Morning2s_9cbf2546.ltl	case_8c299409c13a056ab608fa1d.ltl	equal
Morning2s_d6c5ac79.ltl	case_7bd64760558b96806c798b84.ltl	equal
MorningMin_d6c5ac79.ltl	case_c7152ead17fc1e0121f23e30.ltl	equal
Morning_14a3b3a2.ltl	case_68b2060dd9535acd5fad4367.ltl	equal
Morning_4b5e6eaa.ltl	case_e2f941d62396c262d4ccc1b5.ltl	equal
Morning_88c5c1c3.ltl	case_eca220491c4fd91f77532623.ltl	equal
Morning_9cac58d3.ltl	case_58757f5e5fa1637f3779bdb7.ltl	equal
Morning_c92eb242.ltl	case_f605f9775c4c753b3f7a63ef.ltl	equal
Morning_f1477cc5.ltl	case_c8186519643b39b306b2e608.ltl	equal
Morning_f2774e0b.ltl	case_209ca5f286e519315ea2d3d6.ltl	equal
MusicAppFeedback.ltl	case_2685f891cd4600961e1f2f0b.ltl	equal
MusicAppMotivating.ltl	case_38cecb8897e17b12fdfb468d.ltl	equal
MusicAppSimple.ltl	case_666ec6b1f68fe5d766bbb4f0.ltl	equal
OneCounter.ltl	case_6dd3f88d12c9bc6d7bc4e2ed.ltl	equal
OneCounterGui.ltl	case_73fe14b79a8e01e091d2911f.ltl	equal
OneCounterGuiA1.ltl	case_4123f15804071403d58955f9.ltl	equal
OneCounterGuiA2.ltl	case_504faac097a153ce5f725ce3.ltl	equal
OneCounterGuiA3.ltl	case_3398d4da0c5d5a1b893500e1.ltl	equal
OneCounterGuiA4.ltl	case_a3476654dcab3a8543536fea.ltl	equal
OneCounterGuiA5.ltl	case_03cb4170df9f79f7c7ce318c.ltl	equal
OneCounterGuiA6.ltl	case_89a5a268612fd6e9b976cdc2.ltl	equal
OneCounterGuiA7.ltl	case_290b8d73a64d57e08f6b6505.ltl	equal
OneCounterGuiA8.ltl	case_7d4cdd7d4bc0077a24554068.ltl	equal
OneCounterInRange.ltl	case_1c3122be2b3dc353e40f3b7b.ltl	equal
OneCounterInRangeA1.ltl	case_2da513ba430c5983697111f6.ltl	equal
OneCounterInRangeA2.ltl	case_a9e812bcb62fa95822f5f002.ltl	equal
OneCounterInRangeA3.ltl	case_0b58a1510c9b2002026c47c5.ltl	equal
PlugController_fa4d4ce3.ltl	case_e4b77c753bbebecb49bac45a.ltl	equal
Radarboard.ltl	case_229578ad055c2e7b1df12117.ltl	equal
RegManager.ltl	case_d8d0b83bbcaeee7ab4861086.ltl	equal
Room_a50cadd7.ltl	case_3054bf919ff80c5df8bfd9c3.ltl	equal
RotationCalculator.ltl	case_0197b766bad407b312c9ffe0.ltl	equal
SPI.ltl	case_723355051535b1ce3cf741d7.ltl	equal
SPIPureNext.ltl	case_182158709db6247e29d5d371.ltl	equal
SPIReadClk.ltl	case_8c7af0287b9206d019dd352e.ltl	equal
SPIReadManag.ltl	case_d7d4c7810822abbfcd07969f.ltl	equal
SPIReadSdi.ltl	case_83f859310f80d98744d4d58c.ltl	equal
SPIWriteClk.ltl	case_6f0dc6797da37bacff63bf5d.ltl	equal
SPIWriteManag.ltl	case_82ec4c9de852d4c96d32c41e.ltl	equal
SPIWriteSdi.ltl	case_746560e1e789d101d9d7567b.ltl	equal
Scoreboard.ltl	case_25a98e0dc9cbcbaa9ab0df87.ltl	equal
Sensor.ltl	case_28d4e364890a733f74e20b25.ltl	equal
SensorInit.ltl	case_b54a65c30a07f0c96cada256.ltl	equal
SensorPart.ltl	case_97c2b79e4bbc44b7394a38a1.ltl	equal
SensorRegister.ltl	case_7f1a66774259b9481305efd3.ltl	equal
SensorSelector.ltl	case_ae5793c3ea1829c28ee869a5.ltl	equal
SensorSubmodulChooser.ltl	case_9da4c0df6306d11d65e11da9.ltl	equal
Shades2Min_63831f8c.ltl	case_fffb907a488e1ebbdaef0fc0.ltl	equal
Shades2_235467da.ltl	case_ba70fc75720e0e5111607963.ltl	equal
Shades2_42dc4fff.ltl	case_5093b2968c93124fd6345078.ltl	equal
Shades2_70523fbe.ltl	case_956d9adea3b2892cd320195f.ltl	equal
Shades2_a5f99bc6.ltl	case_4310600df38b5090168313e7.ltl	equal
ShadesMin_aeb1d897.ltl	case_6afd5887bb5b4e11d60a2370.ltl	equal
Shades_6479ef9a.ltl	case_61c9c912c0b6a349edc40e30.ltl	equal
Shades_974f4a68.ltl	case_627bd65b81479135f8484203.ltl	equal
Shades_9cac58d3.ltl	case_905129d722445e8ee2230e48.ltl	equal
Shades_a02758ea.ltl	case_b5e23a19fd7761383392fe43.ltl	equal
SingleContoller_d65ed84e.ltl	case_e1b6b58af9f89f722fa93b38.ltl	equal
SliderDefault.ltl	case_6806b4c7795fe881594410f0.ltl	equal
SliderDelayed.ltl	case_f1b6cd52c7042e97bb3ec5a3.ltl	equal
SliderScored.ltl	case_e402b1dfa1b266c8aa0bf0b9.ltl	equal
System_b0840146.ltl	case_609578c9074c7a9af31bb537.ltl	equal
Time_a50cadd7.ltl	case_d59fe19176a3a171282c3b3f.ltl	equal
Timer_a50cadd7.ltl	case_f2901ba2c65df40eaaf958a2.ltl	equal
TorcsAccelerating.ltl	case_bfc7b3ee2edf28b00b63e422.ltl	equal
TorcsGearing.ltl	case_6788dd7cbd03777a1a22f43c.ltl	equal
TorcsSimple.ltl	case_6ba53897f33a927fe350c3b2.ltl	equal
TorcsSteeringImproved.ltl	case_31326351b75ea251360d2fea.ltl	equal
TorcsSteeringSimple.ltl	case_f90ea5ddd2a574188d61198e.ltl	equal
TorcsSteeringSmart.ltl	case_5eaf44d2812526aa9067e5d4.ltl	equal
TwoCounters.ltl	case_8545f5111140f702c8d78c04.ltl	equal
TwoCounters2.ltl	case_8d88d7dba87941f8fdbc8852.ltl	equal
TwoCounters3.ltl	case_2ca2d48735f0e85aaa9f80fa.ltl	equal
TwoCounters4.ltl	case_00098e1c423098d59f0f5596.ltl	equal
TwoCounters5.ltl	case_06032e519d705760f75afeb4.ltl	equal
TwoCountersDisButA0.ltl	case_a952942012d8fcfb81d8c9be.ltl	equal
TwoCountersDisButA1.ltl	case_82809106c64c6d3298e27269.ltl	equal
TwoCountersDisButA2.ltl	case_d49a985dbd648f0bc514bd0e.ltl	equal
TwoCountersDisButA3.ltl	case_5cda92f2402c8741158ff235.ltl	equal
TwoCountersDisButA4.ltl	case_ab279da2a7140148cf193334.ltl	equal
TwoCountersDisButA5.ltl	case_440629865fce64847715dd90.ltl	equal
TwoCountersDisButA6.ltl	case_9fc1dbedbb9e2488a7face70.ltl	equal
TwoCountersDisButA7.ltl	case_84adc59daa6ece1b22b73dd8.ltl	equal
TwoCountersDisButA8.ltl	case_7a5bcf1314056ca0d231d8d4.ltl	equal
TwoCountersDisButA9.ltl	case_f839587a6a158e73ca5917be.ltl	equal
TwoCountersDisButAC.ltl	case_ccd979998216114c42e67083.ltl	equal
TwoCountersGui.ltl	case_4097abf27cc142e67d87be93.ltl	equal
TwoCountersInRange.ltl	case_cc7c63024c1dfeff2b13181d.ltl	equal
TwoCountersInRangeA1.ltl	case_ecaabb1a0f506e416e8f4eb1.ltl	equal
TwoCountersInRangeA2.ltl	case_e8ce864d5ae5d4e2af15b765.ltl	equal
TwoCountersInRangeA3.ltl	case_cc13412fcd36a18ebde26d1a.ltl	equal
TwoCountersInRangeA4.ltl	case_a19d2014c34bbf1fcb42967c.ltl	equal
TwoCountersInRangeA5.ltl	case_fdb828a1e811af3b18806cc0.ltl	equal
TwoCountersInRangeM0.ltl	case_9d35f8f55ec157345f0e9213.ltl	equal
TwoCountersInRangeM1.ltl	case_bc43fce408f6dd6b8a953c8e.ltl	equal
TwoCountersInRangeM2.ltl	case_f9fa75cc1bc640795712543a.ltl	equal
TwoCountersInRangeM3.ltl	case_882af6a097c1b57d4b524141.ltl	equal
TwoCountersInRangeM4.ltl	case_e39f97cb7f324db28a0f8f1a.ltl	equal
TwoCountersRefined.ltl	case_f6a2b7a337ae546972592e02.ltl	equal
TwoCountersRefinedRefined.ltl	case_bf911e4563cdb0f0679b90c9.ltl	equal
UnderapproxDemo2.ltl	case_01be8bb75c6254bcf689573b.ltl	equal
UnderapproxStrengthenedDemo.ltl	case_235247f48067095993bcb681.ltl	equal
Warnlight_2d1010f8.ltl	case_02b705791c2692d875536f37.ltl	equal
Warnlight_a50cadd7.ltl	case_7ce773212d87e679d4e95f99.ltl	equal
Window2Min_88c5c1c3.ltl	case_1ad281b3078ee8d7b6b89e36.ltl	equal
Window2_54e1f7d2.ltl	case_26beda4b77b561b943da9f97.ltl	equal
Window2_6479ef9a.ltl	case_1762581392ae3eb9b0a5665d.ltl	equal
Window2_9cac58d3.ltl	case_f097b3528d8c7dc7b8ecc5b1.ltl	equal
Window2_aeb1d897.ltl	case_08c026f15d3f4b7282662880.ltl	equal
Window2_f1477cc5.ltl	case_7eb3cf37ab74052b2e03da24.ltl	equal
WindowMin_a5f99bc6.ltl	case_90048821f4ab20cfe9ba84f4.ltl	equal
Window_235467da.ltl	case_be0a1842ce69c17b8964f5d7.ltl	equal
Window_42dc4fff.ltl	case_83346cae9fa319c44f14b2dd.ltl	equal
Window_54e1f7d2.ltl	case_75444f19df4621a8a1c8c7ce.ltl	equal
Zoo0.ltl	case_d98ed2d745b6dad5954fc9fb.ltl	equal
Zoo10.ltl	case_b610a0fbdb41a4eab8b1ef10.ltl	equal
Zoo5.ltl	case_28b53bc02dac03bc6746277b.ltl	equal
abcg_arbiter_pb_1_pe_.ltl	case_bd9c904f8722db64b065a6e6.ltl	equal
abcg_arbiter_pb_2_pe_.ltl	case_a57c57f41d4df07c2a78e54c.ltl	equal
abcg_arbiter_pb_3_pe_.ltl	case_9b9aca9ee2b2796397ee9117.ltl	equal
abcg_arbiter_pb_4_pe_.ltl	case_a544df3ad2098a0804967f29.ltl	equal
abcg_arbiter_pb_5_pe_.ltl	case_107f6f4352a42cda7e866310.ltl	equal
abcg_arbiter_pb_6_pe_.ltl	case_5049947f418420980b7026f7.ltl	equal
amba_case_study_pb_2_pe_.ltl	case_55056aacfd66f2f32798a25f.ltl	equal
amba_case_study_pb_3_pe_.ltl	case_ae0bfabb404e25b1ac0c9900.ltl	equal
amba_case_study_pb_4_pe_.ltl	case_cc9f5981f4f15e2abf307594.ltl	equal
amba_case_study_unreal_pb_2_pe_.ltl	case_bd2a9819d8ac063d9844c2fd.ltl	equal
amba_case_study_unreal_pb_3_pe_.ltl	case_50ab97c281021ff858841b8e.ltl	equal
amba_case_study_unreal_pb_4_pe_.ltl	case_5c91ad79e68f245b5398e012.ltl	equal
amba_case_study_unreal_pb_5_pe_.ltl	case_61925ed211b586b7a54ddf4e.ltl	equal
amba_decomposed_arbiter_pb_10_pe_.ltl	case_2d59b90ef3e29d2d3da8f3ec.ltl	equal
amba_decomposed_arbiter_pb_11_pe_.ltl	case_e7de6e3693a739bd8c2cbcb0.ltl	equal
amba_decomposed_arbiter_pb_12_pe_.ltl	case_e257f3d750be3fe460c10891.ltl	equal
amba_decomposed_arbiter_pb_13_pe_.ltl	case_1e272f80ecff8e081d5f40ae.ltl	equal
amba_decomposed_arbiter_pb_2_pe_.ltl	case_12ba1a4ef7b2425871f1bb4d.ltl	equal
amba_decomposed_arbiter_pb_3_pe_.ltl	case_208f81e311a656cd240d4db6.ltl	equal
amba_decomposed_arbiter_pb_4_pe_.ltl	case_641e35c87d2e8b38ed0281cc.ltl	equal
amba_decomposed_arbiter_pb_5_pe_.ltl	case_9805b6ed3fc4e003f9d6a5d9.ltl	equal
amba_decomposed_arbiter_pb_6_pe_.ltl	case_a9ec495bd1785cddee2164e2.ltl	equal
amba_decomposed_arbiter_pb_7_pe_.ltl	case_7cb79f11e8672b0a3965bdd9.ltl	equal
