logical_instance	family_display	family_key	parameters	status_120s	tlsf
amba_decomposed_encode_pb_12_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 12}	solved	tlsf-corpus/amba_decomposed_encode_pb_12_pe_.tlsf
amba_decomposed_encode_pb_13_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 13}	solved	tlsf-corpus/amba_decomposed_encode_pb_13_pe_.tlsf
amba_decomposed_encode_pb_14_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 14}	solved	tlsf-corpus/amba_decomposed_encode_pb_14_pe_.tlsf
amba_decomposed_encode_pb_15_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 15}	solved	tlsf-corpus/amba_decomposed_encode_pb_15_pe_.tlsf
amba_decomposed_encode_pb_16_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 16}	solved	tlsf-corpus/amba_decomposed_encode_pb_16_pe_.tlsf
amba_decomposed_encode_pb_20_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 20}	unsolved	tlsf-corpus/amba_decomposed_encode_pb_20_pe_.tlsf
amba_decomposed_encode_pb_25_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 25}	unsolved	tlsf-corpus/amba_decomposed_encode_pb_25_pe_.tlsf
amba_decomposed_encode_pb_2_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 2}	solved	tlsf-corpus/amba_decomposed_encode_pb_2_pe_.tlsf
amba_decomposed_encode_pb_3_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 3}	solved	tlsf-corpus/amba_decomposed_encode_pb_3_pe_.tlsf
amba_decomposed_encode_pb_4_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 4}	solved	tlsf-corpus/amba_decomposed_encode_pb_4_pe_.tlsf
amba_decomposed_encode_pb_5_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 5}	solved	tlsf-corpus/amba_decomposed_encode_pb_5_pe_.tlsf
amba_decomposed_encode_pb_6_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 6}	solved	tlsf-corpus/amba_decomposed_encode_pb_6_pe_.tlsf
amba_decomposed_encode_pb_7_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 7}	solved	tlsf-corpus/amba_decomposed_encode_pb_7_pe_.tlsf
amba_decomposed_encode_pb_8_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 8}	solved	tlsf-corpus/amba_decomposed_encode_pb_8_pe_.tlsf
amba_decomposed_encode_pb_9_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 9}	solved	tlsf-corpus/amba_decomposed_encode_pb_9_pe_.tlsf
amba_decomposed_lock_pb_10_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 10}	solved	tlsf-corpus/amba_decomposed_lock_pb_10_pe_.tlsf
amba_decomposed_lock_pb_11_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 11}	solved	tlsf-corpus/amba_decomposed_lock_pb_11_pe_.tlsf
amba_decomposed_lock_pb_12_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 12}	solved	tlsf-corpus/amba_decomposed_lock_pb_12_pe_.tlsf
amba_decomposed_lock_pb_13_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 13}	solved	tlsf-corpus/amba_decomposed_lock_pb_13_pe_.tlsf
amba_decomposed_lock_pb_14_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 14}	solved	tlsf-corpus/amba_decomposed_lock_pb_14_pe_.tlsf
amba_decomposed_lock_pb_15_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 15}	unsolved	tlsf-corpus/amba_decomposed_lock_pb_15_pe_.tlsf
amba_decomposed_lock_pb_16_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 16}	unsolved	tlsf-corpus/amba_decomposed_lock_pb_16_pe_.tlsf
amba_decomposed_lock_pb_2_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 2}	solved	tlsf-corpus/amba_decomposed_lock_pb_2_pe_.tlsf
amba_decomposed_lock_pb_30_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 30}	unsolved	tlsf-corpus/amba_decomposed_lock_pb_30_pe_.tlsf
amba_decomposed_lock_pb_3_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 3}	solved	tlsf-corpus/amba_decomposed_lock_pb_3_pe_.tlsf
amba_decomposed_lock_pb_4_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 4}	solved	tlsf-corpus/amba_decomposed_lock_pb_4_pe_.tlsf
amba_decomposed_lock_pb_5_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 5}	solved	tlsf-corpus/amba_decomposed_lock_pb_5_pe_.tlsf
amba_decomposed_lock_pb_6_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 6}	solved	tlsf-corpus/amba_decomposed_lock_pb_6_pe_.tlsf
amba_decomposed_lock_pb_7_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 7}	solved	tlsf-corpus/amba_decomposed_lock_pb_7_pe_.tlsf
amba_decomposed_lock_pb_8_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 8}	solved	tlsf-corpus/amba_decomposed_lock_pb_8_pe_.tlsf
amba_decomposed_lock_pb_9_pe_.ltl	amba_decomposed_lock	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	{"n": 9}	solved	tlsf-corpus/amba_decomposed_lock_pb_9_pe_.tlsf
abcg_arbiter_pb_1_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 1}	solved	tlsf-corpus/abcg_arbiter_pb_1_pe_.tlsf
abcg_arbiter_pb_2_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 2}	solved	tlsf-corpus/abcg_arbiter_pb_2_pe_.tlsf
abcg_arbiter_pb_3_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 3}	solved	tlsf-corpus/abcg_arbiter_pb_3_pe_.tlsf
abcg_arbiter_pb_4_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 4}	unsolved	tlsf-corpus/abcg_arbiter_pb_4_pe_.tlsf
abcg_arbiter_pb_5_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 5}	unsolved	tlsf-corpus/abcg_arbiter_pb_5_pe_.tlsf
abcg_arbiter_pb_6_pe_.ltl	abcg_arbiter	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	{"n": 6}	unsolved	tlsf-corpus/abcg_arbiter_pb_6_pe_.tlsf
arbiter_pb_10_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 10}	unsolved	tlsf-corpus/arbiter_pb_10_pe_.tlsf
arbiter_pb_1_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 1}	solved	tlsf-corpus/arbiter_pb_1_pe_.tlsf
arbiter_pb_2_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 2}	solved	tlsf-corpus/arbiter_pb_2_pe_.tlsf
arbiter_pb_3_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 3}	solved	tlsf-corpus/arbiter_pb_3_pe_.tlsf
arbiter_pb_4_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 4}	solved	tlsf-corpus/arbiter_pb_4_pe_.tlsf
arbiter_pb_5_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 5}	solved	tlsf-corpus/arbiter_pb_5_pe_.tlsf
arbiter_pb_6_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 6}	unsolved	tlsf-corpus/arbiter_pb_6_pe_.tlsf
arbiter_pb_7_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 7}	unsolved	tlsf-corpus/arbiter_pb_7_pe_.tlsf
arbiter_pb_8_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 8}	unsolved	tlsf-corpus/arbiter_pb_8_pe_.tlsf
arbiter_pb_9_pe_.ltl	arbiter	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	{"n": 9}	unsolved	tlsf-corpus/arbiter_pb_9_pe_.tlsf
arbiter_on_inpchange_pb_1_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 1}	solved	tlsf-corpus/arbiter_on_inpchange_pb_1_pe_.tlsf
arbiter_on_inpchange_pb_2_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 2}	solved	tlsf-corpus/arbiter_on_inpchange_pb_2_pe_.tlsf
arbiter_on_inpchange_pb_3_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 3}	solved	tlsf-corpus/arbiter_on_inpchange_pb_3_pe_.tlsf
arbiter_on_inpchange_pb_4_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 4}	solved	tlsf-corpus/arbiter_on_inpchange_pb_4_pe_.tlsf
arbiter_on_inpchange_pb_5_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 5}	unsolved	tlsf-corpus/arbiter_on_inpchange_pb_5_pe_.tlsf
arbiter_on_inpchange_pb_6_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 6}	unsolved	tlsf-corpus/arbiter_on_inpchange_pb_6_pe_.tlsf
arbiter_on_inpchange_pb_7_pe_.ltl	arbiter_on_inpchange	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	{"n": 7}	unsolved	tlsf-corpus/arbiter_on_inpchange_pb_7_pe_.tlsf
arbiter_with_buffer_pb_10_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 10}	unsolved	tlsf-corpus/arbiter_with_buffer_pb_10_pe_.tlsf
arbiter_with_buffer_pb_1_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 1}	solved	tlsf-corpus/arbiter_with_buffer_pb_1_pe_.tlsf
arbiter_with_buffer_pb_2_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 2}	solved	tlsf-corpus/arbiter_with_buffer_pb_2_pe_.tlsf
arbiter_with_buffer_pb_3_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 3}	solved	tlsf-corpus/arbiter_with_buffer_pb_3_pe_.tlsf
arbiter_with_buffer_pb_4_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 4}	solved	tlsf-corpus/arbiter_with_buffer_pb_4_pe_.tlsf
arbiter_with_buffer_pb_5_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 5}	solved	tlsf-corpus/arbiter_with_buffer_pb_5_pe_.tlsf
arbiter_with_buffer_pb_6_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 6}	unsolved	tlsf-corpus/arbiter_with_buffer_pb_6_pe_.tlsf
arbiter_with_buffer_pb_7_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 7}	unsolved	tlsf-corpus/arbiter_with_buffer_pb_7_pe_.tlsf
arbiter_with_buffer_pb_8_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 8}	unsolved	tlsf-corpus/arbiter_with_buffer_pb_8_pe_.tlsf
arbiter_with_buffer_pb_9_pe_.ltl	arbiter_with_buffer	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	{"n": 9}	unsolved	tlsf-corpus/arbiter_with_buffer_pb_9_pe_.tlsf
arbiter_with_cancel_pb_10_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 10}	unsolved	tlsf-corpus/arbiter_with_cancel_pb_10_pe_.tlsf
arbiter_with_cancel_pb_1_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 1}	solved	tlsf-corpus/arbiter_with_cancel_pb_1_pe_.tlsf
arbiter_with_cancel_pb_2_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 2}	solved	tlsf-corpus/arbiter_with_cancel_pb_2_pe_.tlsf
arbiter_with_cancel_pb_3_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 3}	solved	tlsf-corpus/arbiter_with_cancel_pb_3_pe_.tlsf
arbiter_with_cancel_pb_4_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 4}	solved	tlsf-corpus/arbiter_with_cancel_pb_4_pe_.tlsf
arbiter_with_cancel_pb_5_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 5}	solved	tlsf-corpus/arbiter_with_cancel_pb_5_pe_.tlsf
arbiter_with_cancel_pb_6_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 6}	unsolved	tlsf-corpus/arbiter_with_cancel_pb_6_pe_.tlsf
arbiter_with_cancel_pb_7_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 7}	unsolved	tlsf-corpus/arbiter_with_cancel_pb_7_pe_.tlsf
arbiter_with_cancel_pb_8_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 8}	unsolved	tlsf-corpus/arbiter_with_cancel_pb_8_pe_.tlsf
arbiter_with_cancel_pb_9_pe_.ltl	arbiter_with_cancel	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	{"n": 9}	unsolved	tlsf-corpus/arbiter_with_cancel_pb_9_pe_.tlsf
rw_arbiter_pb_1_pe_.ltl	rw_arbiter	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	{"n": 1}	solved	tlsf-corpus/rw_arbiter_pb_1_pe_.tlsf
rw_arbiter_pb_2_pe_.ltl	rw_arbiter	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	{"n": 2}	solved	tlsf-corpus/rw_arbiter_pb_2_pe_.tlsf
rw_arbiter_pb_3_pe_.ltl	rw_arbiter	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	{"n": 3}	solved	tlsf-corpus/rw_arbiter_pb_3_pe_.tlsf
rw_arbiter_pb_4_pe_.ltl	rw_arbiter	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	{"n": 4}	unsolved	tlsf-corpus/rw_arbiter_pb_4_pe_.tlsf
rw_arbiter_pb_5_pe_.ltl	rw_arbiter	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	{"n": 5}	unsolved	tlsf-corpus/rw_arbiter_pb_5_pe_.tlsf
chomp_pb_2_2_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 2, "M": 2}	solved	tlsf-corpus/chomp_pb_2_2_pe_.tlsf
chomp_pb_2_3_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 2, "M": 3}	solved	tlsf-corpus/chomp_pb_2_3_pe_.tlsf
chomp_pb_2_4_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 2, "M": 4}	unsolved	tlsf-corpus/chomp_pb_2_4_pe_.tlsf
chomp_pb_2_5_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 2, "M": 5}	unsolved	tlsf-corpus/chomp_pb_2_5_pe_.tlsf
chomp_pb_2_6_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 2, "M": 6}	unsolved	tlsf-corpus/chomp_pb_2_6_pe_.tlsf
chomp_pb_3_2_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 3, "M": 2}	solved	tlsf-corpus/chomp_pb_3_2_pe_.tlsf
chomp_pb_3_3_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 3, "M": 3}	unsolved	tlsf-corpus/chomp_pb_3_3_pe_.tlsf
chomp_pb_3_4_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 3, "M": 4}	unsolved	tlsf-corpus/chomp_pb_3_4_pe_.tlsf
chomp_pb_3_5_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 3, "M": 5}	unsolved	tlsf-corpus/chomp_pb_3_5_pe_.tlsf
chomp_pb_3_6_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 3, "M": 6}	unsolved	tlsf-corpus/chomp_pb_3_6_pe_.tlsf
chomp_pb_4_2_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 4, "M": 2}	unsolved	tlsf-corpus/chomp_pb_4_2_pe_.tlsf
chomp_pb_4_3_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 4, "M": 3}	unsolved	tlsf-corpus/chomp_pb_4_3_pe_.tlsf
chomp_pb_4_4_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 4, "M": 4}	unsolved	tlsf-corpus/chomp_pb_4_4_pe_.tlsf
chomp_pb_4_5_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 4, "M": 5}	unsolved	tlsf-corpus/chomp_pb_4_5_pe_.tlsf
chomp_pb_4_6_pe_.ltl	chomp	param:tlsf/chomp_game/parametric/chomp.tlsf	{"N": 4, "M": 6}	unsolved	tlsf-corpus/chomp_pb_4_6_pe_.tlsf
collector_v1_pb_11_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 11}	unsolved	tlsf-corpus/collector_v1_pb_11_pe_.tlsf
collector_v1_pb_12_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 12}	unsolved	tlsf-corpus/collector_v1_pb_12_pe_.tlsf
collector_v1_pb_13_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 13}	unsolved	tlsf-corpus/collector_v1_pb_13_pe_.tlsf
collector_v1_pb_14_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 14}	unsolved	tlsf-corpus/collector_v1_pb_14_pe_.tlsf
collector_v1_pb_15_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 15}	unsolved	tlsf-corpus/collector_v1_pb_15_pe_.tlsf
collector_v1_pb_3_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 3}	solved	tlsf-corpus/collector_v1_pb_3_pe_.tlsf
collector_v1_pb_5_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 5}	solved	tlsf-corpus/collector_v1_pb_5_pe_.tlsf
collector_v1_pb_7_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 7}	solved	tlsf-corpus/collector_v1_pb_7_pe_.tlsf
collector_v1_pb_9_pe_.ltl	collector_v1	param:tlsf/collector/parametric/collector_v1.tlsf	{"n": 9}	solved	tlsf-corpus/collector_v1_pb_9_pe_.tlsf
collector_v2_pb_10_pe_.ltl	collector_v2	param:tlsf/collector/parametric/collector_v2.tlsf	{"n": 10}	solved	tlsf-corpus/collector_v2_pb_10_pe_.tlsf
collector_v2_pb_11_pe_.ltl	collector_v2	param:tlsf/collector/parametric/collector_v2.tlsf	{"n": 11}	solved	tlsf-corpus/collector_v2_pb_11_pe_.tlsf
