side	family	n	logical_instance	census_class	measured_arity	seeds_used	path_kind	stage_reached	verdict	target_verified	seed_monitor_s	seed_solve_s	generalization_s	instantiation_s	target_monitor_s	target_solve_s	target_check_s	probe_check_s	driver_overhead_s	wrapper_overhead_s	cold_total_s	within_120s	peak_rss_kib	reason	evidence
REAL	arbiter	7	arbiter_pb_7_pe_.ltl	-/R	2	3,4	lifted	target_check	REALIZABLE	true	0.274159	0.183539	0.730173	0.423656	0.146289	0.000000	0.359831	0.100866	0.778365	0.005684	3.002562	true	694128	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter-n7.json
REAL	arbiter	8	arbiter_pb_8_pe_.ltl	-/R	2	3,4	lifted	target_check	REALIZABLE	true	0.275744	0.180700	0.959411	0.604918	0.147266	0.000000	0.593964	0.100551	0.771637	0.005899	3.640090	true	728008	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter-n8.json
REAL	arbiter	9	arbiter_pb_9_pe_.ltl	-/R	2	3,4	lifted	target_check	REALIZABLE	true	0.274794	0.183713	1.241063	0.841512	0.147835	0.000000	1.152740	0.100451	0.768462	0.005889	4.716459	true	790432	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter-n9.json
REAL	arbiter	10	arbiter_pb_10_pe_.ltl	-/R	2	3,4	lifted	target_check	REALIZABLE	true	0.273101	0.180970	1.583070	1.139946	0.153397	0.000000	2.367110	0.100654	0.769807	0.006065	6.574120	true	919364	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter-n10.json
REAL	arbiter_on_inpchange	5	arbiter_on_inpchange_pb_5_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.222229	0.580148	2.890757	0.866134	0.082957	0.000000	6.251289	0.000000	0.200224	0.003850	11.097588	true	680604	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_on_inpchange-n5.json
REAL	arbiter_on_inpchange	6	arbiter_on_inpchange_pb_6_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.441246	1.142256	3.746065	1.414506	0.167215	0.000000	35.711729	6.172122	4.205391	0.006283	53.006813	true	1707100	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_on_inpchange-n6.json
REAL	arbiter_on_inpchange	7	arbiter_on_inpchange_pb_7_pe_.ltl	-/R	2	2,3,4	lifted	target_check	UNKNOWN	false	0.441495	1.146465	7.696281	3.068063	0.171845	0.000000	0.000000	6.151819	101.391161	0.002528	120.069657	false	1720472	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_on_inpchange-n7.json
REAL	arbiter_with_buffer	6	arbiter_with_buffer_pb_6_pe_.ltl	-/R	1	2,3,4	lifted	target_check	REALIZABLE	true	0.386583	0.129538	0.290823	0.480851	0.134766	0.000000	0.105768	0.049867	0.397455	0.003837	1.979488	true	663832	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_buffer-n6.json
REAL	arbiter_with_buffer	7	arbiter_with_buffer_pb_7_pe_.ltl	-/R	1	2,3,4	lifted	target_check	REALIZABLE	true	0.385163	0.128686	1.145907	2.283903	0.135146	0.000000	0.229779	0.049137	0.431930	0.005914	4.795565	true	676012	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_buffer-n7.json
REAL	arbiter_with_buffer	8	arbiter_with_buffer_pb_8_pe_.ltl	-/R	1	2,3,4	lifted	target_check	REALIZABLE	true	0.383257	0.128786	4.191342	12.626618	0.138521	0.000000	0.405765	0.049473	0.434388	0.011781	18.369931	true	721440	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_buffer-n8.json
REAL	arbiter_with_buffer	9	arbiter_with_buffer_pb_9_pe_.ltl	-/R	1	2,3,4	lifted	instantiate	UNKNOWN	false	0.192108	0.063705	17.300735	0.000000	0.074068	0.000000	0.000000	0.000000	102.453794	0.002437	120.086847	false	1802600	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_buffer-n9.json
REAL	arbiter_with_buffer	10	arbiter_with_buffer_pb_10_pe_.ltl	-/R	1	2,3,4	lifted	instantiate	UNKNOWN	false	0.193267	0.064188	72.718680	0.000000	0.074022	0.000000	0.000000	0.000000	47.058322	0.002492	120.110972	false	3970148	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_buffer-n10.json
REAL	arbiter_with_cancel	6	arbiter_with_cancel_pb_6_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.428485	0.576754	1.082891	0.348384	0.158962	0.000000	1.079612	0.350627	1.251719	0.005706	5.283140	true	754192	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_cancel-n6.json
REAL	arbiter_with_cancel	7	arbiter_with_cancel_pb_7_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.425024	0.579755	1.466471	0.548616	0.161430	0.000000	3.607239	0.349409	1.262167	0.005881	8.405992	true	893408	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_cancel-n7.json
REAL	arbiter_with_cancel	8	arbiter_with_cancel_pb_8_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.437170	0.578827	1.802885	0.741209	0.169117	0.000000	12.350177	0.349658	1.210656	0.006100	17.645799	true	1209900	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_cancel-n8.json
REAL	arbiter_with_cancel	9	arbiter_with_cancel_pb_9_pe_.ltl	-/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.428161	0.582047	2.490879	1.112897	0.168756	0.000000	49.559203	0.349985	1.328616	0.006287	56.026831	true	1682884	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_cancel-n9.json
REAL	arbiter_with_cancel	10	arbiter_with_cancel_pb_10_pe_.ltl	-/R	2	2,3,4	lifted	target_check	UNKNOWN	false	0.428516	0.578292	3.008852	1.436767	0.173922	0.000000	80.799818	0.350086	1.232472	0.002663	88.011388	false	3424016	tlsfcertcheck_OxiDD_capacity_while_compiling_policy	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter_with_cancel-n10.json
REAL	collector_v1	11	collector_v1_pb_11_pe_.ltl	-/R	1	3	lifted	canonicalize	UNKNOWN	false	0.073097	0.044360	0.000555	0.000000	119.603946	0.000000	0.000000	0.000000	0.110682	0.002499	119.835138	false	2174732	canonicalize_predicate_monitor_game_at_n_11_timed_out_after_119.498s	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/collector_v1-n11.json
REAL	collector_v1	12	collector_v1_pb_12_pe_.ltl	-/R	1	3	lifted	canonicalize	UNKNOWN	false	0.074150	0.043592	0.000608	0.000000	119.760979	0.000000	0.000000	0.000000	0.111516	0.002582	119.993427	false	5836272	canonicalize_predicate_monitor_game_at_n_12_timed_out_after_119.498s	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/collector_v1-n12.json
REAL	collector_v1	13	collector_v1_pb_13_pe_.ltl	-/R	1	3	lifted	canonicalize	UNKNOWN	false	0.071275	0.043774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.468507	17.583557	false	170944	interrupted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/collector_v1-n13.json
REAL	collector_v1	14	collector_v1_pb_14_pe_.ltl	-/R	1	3	lifted	canonicalize	UNKNOWN	false	0.097006	0.050491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	20.407433	20.554930	false	171080	interrupted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/collector_v1-n14.json
REAL	collector_v1	15	collector_v1_pb_15_pe_.ltl	-/R	1	3	lifted	canonicalize	UNKNOWN	false	0.097677	0.050661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.239153	12.387491	false	170760	interrupted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/collector_v1-n15.json
REAL	load_balancer	8	load_balancer_pb_8_pe_.ltl	R/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.401811	0.164943	13.306687	5.638791	0.143759	0.000000	0.401346	0.075471	1.447554	0.011396	21.591758	true	712952	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer-n8.json
REAL	load_balancer	9	load_balancer_pb_9_pe_.ltl	R/R	2	2,3,4	lifted	target_check	REALIZABLE	true	0.401686	0.166154	45.906094	15.458121	0.143386	0.000000	0.861300	0.073426	1.480371	0.018858	64.509396	true	792988	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer-n9.json
REAL	load_balancer	10	load_balancer_pb_10_pe_.ltl	R/R	2	2,3,4	lifted	ranks	UNKNOWN	false	0.218045	0.092611	0.084759	0.000000	0.076642	0.000000	0.000000	0.000000	119.549852	0.002610	120.024519	false	382420	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer-n10.json
REAL	load_balancer	11	load_balancer_pb_11_pe_.ltl	R/R	2	2,3,4	lifted	ranks	UNKNOWN	false	0.204265	0.082763	0.082899	0.000000	0.078529	0.000000	0.000000	0.000000	119.574436	0.002534	120.025426	false	421320	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer-n11.json
UNREAL	load_balancer_unreal2	6	load_balancer_unreal2_pb_6_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNREALIZABLE	true	0.000000	0.000000	0.000000	0.000000	0.085468	1.431566	3.436335	0.000000	0.101879	0.007043	5.062291	true	1226368	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer_unreal2-n6.json
UNREAL	load_balancer_unreal2	7	load_balancer_unreal2_pb_7_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.092615	9.531331	107.102800	0.000000	0.109061	0.002637	116.838444	false	6864700	target_check_predicate_tlsfcertcheck_at_n_7_environment_certificate_did_not_verify_UNKNOWN_tlsfcertcheck_OxiDD_capacity_while_compiling_certificate	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer_unreal2-n7.json
UNREAL	load_balancer_unreal2	8	load_balancer_unreal2_pb_8_pe_.ltl	R/R	not-measured	-	direct-certified	target_solve	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.098450	119.707027	0.000000	0.000000	0.102133	0.002561	119.910171	false	2405796	target_solve_predicate_tlsfsolve_at_n_8_exact_target_did_not_export_UNREAL_exit_124_timeout	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/load_balancer_unreal2-n8.json
REAL	prioritized_arbiter	7	prioritized_arbiter_pb_7_pe_.ltl	R/R	1	3,4	lifted	target_check	REALIZABLE	true	0.261053	0.090616	0.088533	0.023097	0.136918	0.000000	0.089502	0.044060	0.256972	0.003148	0.993899	true	660756	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter-n7.json
REAL	prioritized_arbiter	8	prioritized_arbiter_pb_8_pe_.ltl	R/R	1	3,4	lifted	target_check	REALIZABLE	true	0.264629	0.088988	0.106113	0.041178	0.138191	0.000000	0.097032	0.043610	0.259339	0.003168	1.042248	true	662528	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter-n8.json
REAL	prioritized_arbiter	9	prioritized_arbiter_pb_9_pe_.ltl	R/R	1	3,4	lifted	target_check	REALIZABLE	true	0.260131	0.089569	0.124532	0.077876	0.139447	0.000000	0.112669	0.045250	0.258027	0.003262	1.110763	true	666188	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter-n9.json
REAL	prioritized_arbiter	10	prioritized_arbiter_pb_10_pe_.ltl	R/R	1	3,4	lifted	target_check	REALIZABLE	true	0.265128	0.089867	0.138474	0.153998	0.141807	0.000000	0.142010	0.044506	0.261339	0.003304	1.240433	true	672088	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter-n10.json
REAL	prioritized_arbiter	12	prioritized_arbiter_pb_12_pe_.ltl	R/R	1	3,4	lifted	target_check	REALIZABLE	true	0.262109	0.088102	0.179550	0.823235	0.148526	0.000000	0.432290	0.047435	0.278412	0.003338	2.262997	true	1375756	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter-n12.json
UNREAL	prioritized_arbiter_unreal2	30	prioritized_arbiter_unreal2_pb_30_pe_.ltl	R/R	not-measured	-	direct-certified	canonicalize	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	119.680680	0.000000	0.000000	0.000000	0.103161	0.002517	119.786358	false	1361156	canonicalize_predicate_monitor_game_at_n_30_timed_out_after_119.498s	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter_unreal2-n30.json
UNREAL	prioritized_arbiter_unreal2	60	prioritized_arbiter_unreal2_pb_60_pe_.ltl	R/R	not-measured	-	direct-certified	canonicalize	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	119.586071	0.000000	0.000000	0.000000	0.101977	0.002568	119.690616	false	1228284	canonicalize_predicate_monitor_game_at_n_60_timed_out_after_119.498s	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter_unreal2-n60.json
UNREAL	prioritized_arbiter_unreal2	100	prioritized_arbiter_unreal2_pb_100_pe_.ltl	R/R	not-measured	-	direct-certified	canonicalize	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	119.659265	0.000000	0.000000	0.000000	0.101422	0.002587	119.763275	false	1196376	canonicalize_predicate_monitor_game_at_n_100_timed_out_after_119.498s	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/prioritized_arbiter_unreal2-n100.json
UNREAL	round_robin_arbiter_unreal2	5	round_robin_arbiter_unreal2_pb_5_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNREALIZABLE	true	0.000000	0.000000	0.000000	0.000000	0.080970	0.801980	0.920541	0.000000	0.102328	0.003372	1.909191	true	444980	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/round_robin_arbiter_unreal2-n5.json
UNREAL	round_robin_arbiter_unreal2	6	round_robin_arbiter_unreal2_pb_6_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNREALIZABLE	true	0.000000	0.000000	0.000000	0.000000	0.084805	3.438516	3.863691	0.000000	0.102268	0.003847	7.493127	true	983208	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/round_robin_arbiter_unreal2-n6.json
UNREAL	round_robin_arbiter_unreal2	7	round_robin_arbiter_unreal2_pb_7_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNREALIZABLE	true	0.000000	0.000000	0.000000	0.000000	0.090706	14.758768	22.595958	0.000000	0.103630	0.005323	37.554385	true	1981820	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/round_robin_arbiter_unreal2-n7.json
REAL	simple_arbiter_with_hints	8	simple_arbiter_with_hints_pb_8_pe_.ltl	-/R	1	2,4,6	lifted	anti-unify	UNKNOWN	false	0.210035	0.231486	0.081149	0.000000	0.093840	0.000000	0.000000	0.000000	0.131727	0.002581	0.750819	false	347864	anti-unify_predicate_inv_at_n_4_requires_arity_n_4_no_bounded_arity_through_k_4_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/simple_arbiter_with_hints-n8.json
REAL	simple_arbiter_with_hints	10	simple_arbiter_with_hints_pb_10_pe_.ltl	-/R	1	2,4,6	lifted	anti-unify	UNKNOWN	false	0.208676	0.236660	0.079979	0.000000	0.126986	0.000000	0.000000	0.000000	0.133023	0.002612	0.787936	false	347864	anti-unify_predicate_inv_at_n_4_requires_arity_n_4_no_bounded_arity_through_k_4_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/simple_arbiter_with_hints-n10.json
REAL	simple_arbiter_with_hints	12	simple_arbiter_with_hints_pb_12_pe_.ltl	-/R	1	2,4,6	lifted	anti-unify	UNKNOWN	false	0.208383	0.233132	0.082533	0.000000	0.185710	0.000000	0.000000	0.000000	0.130827	0.002647	0.843232	false	348172	anti-unify_predicate_inv_at_n_4_requires_arity_n_4_no_bounded_arity_through_k_4_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/simple_arbiter_with_hints-n12.json
REAL	simple_arbiter_with_hints	15	simple_arbiter_with_hints_pb_15_pe_.ltl	-/R	1	2,4,6	lifted	anti-unify	UNKNOWN	false	0.210881	0.234700	0.080451	0.000000	0.331830	0.000000	0.000000	0.000000	0.131424	0.002567	0.991853	false	348100	anti-unify_predicate_inv_at_n_4_requires_arity_n_4_no_bounded_arity_through_k_4_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/simple_arbiter_with_hints-n15.json
